1,100,32,0,5.24864,3.5192,0.329502
10,100,32,0,5.0104,3.70774,0.25999
100,100,32,0,4.97094,3.64688,0.266361
1000,100,32,0,5.78733,3.65987,0.367606
10000,100,32,0,6.39149,3.63712,0.430943
100000,100,32,0,17.4278,8.97456,0.485045
1000000,100,32,0,137.648,70.1481,0.490381
10000000,100,32,0,1341.6,686.666,0.488175
1000000,1,32,0,2.09206,2.09088,0.000565942
1000000,2,32,0,3.44813,2.76182,0.199037
1000000,4,32,0,6.18854,4.14822,0.329693
1000000,8,32,0,11.6164,6.9031,0.405744
1000000,16,32,0,22.5827,12.3982,0.450987
1000000,32,32,0,44.4563,23.3943,0.47377
1000000,64,32,0,88.1064,45.3049,0.485793
1000000,128,32,0,175.775,89.3544,0.491655
1000000,256,32,0,350.514,176.865,0.495411
1000000,512,32,0,701.007,352.321,0.497407
1000000,100,32,0,137.328,70.1479,0.489196
1000000,100,32,1,137.453,70.0826,0.490135
1000000,100,1,0,72.5587,69.168,0.0467307
1000000,100,2,0,74.5253,68.6885,0.0783197
1000000,100,4,0,78.339,67.9625,0.132457
1000000,100,8,0,86.818,68.7824,0.207741
1000000,100,16,0,103.423,69.8554,0.324564
1000000,100,32,0,137.403,70.0409,0.490252
1000000,100,64,0,205.127,136.964,0.332296
1000000,100,128,0,340.46,272.235,0.20039
1000000,100,10,0,90.6664,68.6792,0.242507
1000000,100,20,0,111.888,68.8898,0.384297
1000000,100,30,0,133.244,69.7849,0.476262
1000000,100,40,0,154.523,86.1812,0.442276
1000000,100,50,0,175.215,107.314,0.38753
1000000,100,60,0,196.89,128.458,0.347563
1000000,100,70,0,217.579,149.602,0.312426
1000000,100,80,0,239.073,170.806,0.28555
1000000,100,90,0,260.03,191.927,0.261904
1000000,100,100,0,284.072,213.207,0.249461
